No,old_name,Solvent,CAS,dD,dP,dH,Tb,CHO
1,"1,1,1,2-Tetrachloroethane","1,1,1,2-Tetrachloroethane",630-20-6,18,4.4,4.2,,False
2,"1,1,1-Trichloroethane","1,1,1-Trichloroethane",71-55-6,16.8,4.3,2,,False
3,"1,1,1-Trifluoroethane","1,1,1-Trifluoroethane",420-46-2,14.6,10,0,,False
4,"1,1,2,2-Tetrabromoethane","1,1,2,2-Tetrabromoethane",79-27-6,21,7,8.2,,False
5,"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane",79-34-5,18.8,5.1,5.3,,False
6,"1,1,2,2-Tetrachloropropane","1,1,2,2-Tetrachloropropane",13116-60-4,17.9,6.7,3.3,,False
7,"1,1,2-Tribromo Ethylene","1,1,2-Tribromoethylene",598-16-3,18.3,9.4,8,,False
8,"1,1,2-Trichloro Propene","1,1,2-Trichloropropene",21400-25-9,17.7,15.7,3.4,,False
9,"1,1,2-Trichloroethane","1,1,2-Trichloroethane",79-00-5,18.2,5.3,6.8,,False
10,"1,1,2-Trichlorotrifluoroethane (Freon113)","1,1,2-Trichlorotrifluoroethane (Freon 113)",76-13-1,14.7,1.6,0,,False
11,"1,1,3,3-Tetramethoxypropane","1,1,3,3-Tetramethoxypropane",102-52-3,15,7.1,6.8,,True
12,"1,1-Diallyloxyethane","1,1-Diallyloxyethane",20682-69-3,15.4,5.1,4.8,,True
13,"1,1-Dibromoethane","1,1-Dibromoethane",557-91-5,18.5,8.4,8.8,,False
14,"1,1-Dibromoethylene","1,1-Dibromoethylene",593-92-0,16.2,4.8,7,,False
15,"1,1-Dichloro-1-Nitroethane","1,1-Dichloro-1-nitroethane",594-72-9,16.8,12.1,4.3,,False
16,"1,1-Dichloroacetone","1,1-Dichloroacetone",513-88-2,17.1,7.6,5.4,,False
17,"1,1-Dichloroethane","1,1-Dichloroethane",75-34-3,16.5,7.8,3,,False
18,"1,1-Dichloroethylene","1,1-Dichloroethylene",75-35-4,16.4,5.2,2.4,,False
19,"1,1-Dichloropropane","1,1-Dichloropropane",78-99-9,16.1,7.8,3.5,,False
20,"1,1-Dichloropropene","1,1-Dichloropropene",563-58-6,16.9,6.7,2.9,,False
21,"1,1-Diethoxy Butane","1,1-Diethoxybutane",3658-95-5,15.4,4.9,4.6,,True
22,"1,1-Diethoxy Ethane","1,1-Diethoxyethane",105-57-7,15,3.4,4,,True
23,"1,1-Difluoroethane","1,1-Difluoroethane",75-37-6,14.9,9.3,2.9,,False
24,"1,1-Difluoroethylene","1,1-Difluoroethylene",75-38-7,15,5.7,3.6,,False
25,"1,1-Dimethoxy Ethane","1,1-Dimethoxyethane",534-15-6,15.1,4.9,4.9,,True
26,"1,1-Dimethyl Hydrazine","1,1-Dimethylhydrazine",57-14-7,15.3,5.9,11,,False
27,"1,2,3,4-Tetramethylbenzene","1,2,3,4-Tetramethylbenzene",488-23-3,18.8,0.5,0.5,,False
28,"1,2,3,5-Tetramethylbenzene","1,2,3,5-Tetramethylbenzene",527-53-7,18.6,0.5,0.5,,False
29,"1,2,3-Benzotriazole","1,2,3-Benzotriazole",95-14-7,18.7,15.6,12.4,,False
