No.,Formula,Solvent,Name (French),CAS,Hansen Set,Green Set,dD,dP,dH,CMR,I_low,T_b,CHO
1,H2O,Water,Eau,7732-18-5,(X),X,15.5,16,42.3,-,6,100,True
2,CCl4,Carbon tetrachloride,Tétrachlorométhane,56-23-5,X,,17.8,0,0.6,2,4,77,False
3,CS2,Carbon disulfide,Sulfure de carbone,75-15-0,X,,20.2,0,0.6,2,4,46,False
4,CHCl3,Chloroform,Chloroforme,67-66-3,X,,17.8,3.1,5.7,2,4,61,False
5,CH2Cl2,Dichloromethane,Dichlorométhane,75-09-2,X,,17,7.3,7.1,2,4,40,False
6,CH2O2,Formic acid,Acide formique,64-18-6,X,X,14.6,10,14,-,4,101,True
7,CH3NO2,Nitromethane,Nitrométhane,75-52-5,X,,15.8,18.8,6.1,-,4,101,False
8,CH4O,Methanol,Méthanol,67-56-1,X,X,14.7,12.3,22.3,-,5,65,True
9,C2HCl3,Trichloroethylene,Trichloroéthylène,79-01-6,X,,18,3.1,5.3,1B,5,87,False
10,C2H2Cl3,"1,1,1-Trichloroethane","1,1,1-Trichloroéthane",71-55-6,X,,16.8,4.3,2,-,5,74,False
11,C2H3N,Acetonitrile,Acétonitrile,75-05-8,X,X,15.3,18,6.1,-,4,82,False
12,C2H4Cl2,"1,2-Dichloroethane","1,2-Dichloroéthane",107-06-2,X,,18,7.4,4.1,1B,4,83,False
13,C2H4O2,Acetic acid,Acide acétique,64-19-7,X,,14.5,8,13.5,-,4,118,True
14,C2H5NO2,Nitroethane,Nitroéthane,79-24-3,X,,16,15.5,4.5,-,4,114,False
15,C2H6O,Ethanol,Éthanol,64-17-5,X,,15.8,8.8,19.4,-,5,79,True
16,C2H6OS,Dimethyl sulfoxide,Diméthyl sulfoxyde,67-68-5,X,X,18.4,16.4,10.2,-,5,189,False
17,C2H6O2,Ethylene glycol,Éthylène glycol,107-21-1,X,X,17,11,26,-,4,198,True
18,C2H7NO2,Ethanolamine,Éthanolamine,141-43-5,X,X,17,15.5,21,-,4,171,False
19,C3H6O,Acetone,Acétone,67-64-1,X,X,15.5,10.4,7,-,5,56,True
20,C3H6O2,"1,3-Dioxolane","1,3-Dioxolane",646-06-0,X,,18.1,6.6,9.3,-,4,76,True
21,C3H6O2,Propanoic acid,Acide propanoïque,79-09-4,X,,14.7,5.3,12.4,-,4,141,True
22,C3H6O2,Methyl acetate,Acétate de méthyle,79-20-9,X,X,15.5,7.2,7.6,-,5,57,True
