Solvent,CAS,dD,dP,dH,CHO
"Acetic anhydride",,16.0,11.7,10.2,True
"Dimethyl sulfoxide",,18.4,16.4,10.2,False
"γ-Butyrolactone",,18.0,16.6,7.4,True
"Acetonitrile",,15.3,18.0,6.1,False
"Propylene carbonate",,20.0,18.0,4.1,True
"1,4-Dioxane",,17.5,1.8,9.0,True
"Methylal",,15.0,1.8,8.6,True
"Isopropyl myristate",,14.5,2.1,2.7,True
"Dionyl ether",,16.0,2.0,4.6,True
"Isopropyl sebacate",,16.0,3.0,3.8,True
"β-Geranyl acetate",,16.0,3.2,6.1,True
"2-Ethylbenzyl laurate",,16.1,3.3,5.4,True
"Methyl oleate",,16.2,3.8,4.5,True
"Isopropyl palmitate",,16.2,3.0,3.7,True
"Methanaryl acetate",,16.7,4.0,4.3,True
"Cyclohexyl methyl ether",,16.7,4.3,4.3,True
"Glycerol triacetate",,16.6,4.5,9.1,True
"Isopropyl laurate",,16.0,4.8,4.5,True
"2-Methyl tetrahydrofuran",,16.6,5.0,4.3,True
"Ethyl acetate",,15.8,5.3,7.2,True
"Methyl isobutyl ketone",,15.3,6.1,4.1,True
"1,3-Dioxolane",,18.1,6.6,9.3,True
"Dimethyl isosorbide",,16.8,7.0,5.8,True
"Methyl acetate",,15.5,7.2,7.6,True
"Dimethyl glutarate",,16.1,7.7,8.3,True
"Isophorone",,17.0,8.0,5.0,True
"Dimethyl-2-methylglutarate",,16.6,8.7,5.0,True
"Dimethyl phthalate",,18.6,10.8,4.9,True
"Chloroform",,17.8,3.1,5.7,False
"Anisole",,17.8,4.4,6.9,True
"Dichloromethane",,17.0,7.3,1.1,False
"1,2-Dichloroethane",,18.0,7.4,4.1,False
"2-Nitropropane",,16.2,12.1,4.1,False
"Nitroethane",,16.0,15.5,4.5,False
"Octane",,15.5,0.0,0.0,True
"Cyclohexane",,16.8,0.0,0.2,True
"Carbon disulfide",,20.2,0.0,0.6,False
"p-Xylene",,17.8,1.0,3.1,True
"β-Pinene",,16.3,1.5,0.0,True
"Cyclopentasiloxane",,17.3,1.3,1.0,False
"Toluene",,18.0,1.4,2.0,True
"Tetrahydroalphahexane",,19.6,2.0,2.0,True
"Parafilm Liquid",,16.1,2.3,2.0,True
"Bromoperitone",,16.6,4.0,3.8,False
"1,1,1-Trichloroethane",,16.8,4.3,2.0,False
"L-Dibrotoluane",,16.2,5.5,2.0,False
"Propylene glycol",,17.0,11.0,26.0,True
"Ethylene glycol",,17.4,11.3,27.2,True
"Glycerol",,17.6,12.0,19.0,True
"Diethylene glycol",,16.6,12.0,19.0,True
"Methanol",,14.7,12.3,22.3,True
"Glycerol carbonate",,17.9,25.5,17.4,True
"m-Cresol",,18.5,6.5,13.7,True
"Acetic acid",,14.5,8.0,13.5,True
"2-Ethyl-Hexanol",,15.8,7.6,13.5,True
"Methanol",,14.7,12.3,22.3,True
"Dihydromyreneol",,16.9,4.1,9.1,True
"Cyclademol",,16.9,4.1,9.1,True
"1-Butanol",,16.0,5.7,15.8,True
"Solketal",,16.6,7.7,12.0,True
"Ethyl lactate",,16.0,7.6,12.5,True
"Diacetone alcohol",,15.8,8.2,10.8,True
"Ethanol",,15.8,8.8,19.4,True
"Tetraethylene glycol",,16.0,9.2,14.3,True
"Tripropylamine",,15.4,1.7,3.2,False
"Morpholine",,17.2,5.1,9.2,False
"Tetrahydrofuran",,16.8,5.7,8.0,True
"N,N-Dimethyldecanamide",,16.0,4.5,6.8,False
"Pyridine",,19.0,8.8,5.9,False
"Acetone",,15.5,10.4,7.0,True
"Methyl-5-(dimethylamine)-2-methyl-5-oxopentanoate",,16.0,4.5,6.8,False
"N,N-Dimethylformamide",,17.4,13.7,11.3,False
"Water",,15.5,16.0,42.3,True
