"Solvent","V (cm3/mol)","dD","dP","dH","dT","CHO"
"Methanol",40.70,15.10,12.30,22.30,29.61,True
"Ethanol",58.50,15.80,8.80,19.40,26.52,True
"1-Propanol",75.20,16.00,6.80,17.40,24.60,True
"2-Propanol",76.80,15.80,6.10,16.40,23.58,True
"1-Butanol",91.50,16.00,5.70,15.80,23.20,True
"2-Methyl-1-propanol",92.80,15.10,5.70,15.90,22.66,True
"2-Methyl-2-propanol",95.80,15.20,5.10,14.70,21.75,True
"2-Butanol",92.00,15.80,5.70,14.50,22.19,True
"1-Pentanol",108.60,15.90,4.50,13.90,21.59,True
"3-Methyl-1-butanol",109.40,15.80,5.20,13.30,21.30,True
"2-Methyl-1-butanol",108.20,16.00,5.10,14.30,22.06,True
"2-Pentanol",109.60,15.60,6.40,13.30,21.48,True
"2-Methyl-2-butanol",108.20,15.30,6.10,13.30,21.17,True
"1-Hexanol",124.90,15.90,5.80,12.50,21.04,True
"4-Methyl-2-pentanol",127.20,15.40,3.30,12.30,19.98,True
"1,3-Dimethyl-1-butanol",124.00,15.80,4.90,13.50,21.35,True
"1-Heptanol",141.90,16.00,5.30,11.70,20.52,True
"1-Octanol",157.70,17.00,3.30,11.90,21.01,True
"2-Octanol",159.10,16.10,4.90,11.00,20.11,True
"1-Nonanol",174.40,16.00,4.80,10.60,19.78,True
"1-Decanol",191.80,17.50,2.60,10.00,20.32,True
"1-Dodecanol",224.30,16.00,4.00,9.30,18.93,True
"Cyclohexanol",106.00,17.40,4.10,13.50,22.40,True
"Allyl alcohol",68.40,16.20,10.80,16.80,25.72,True
"Benzyl alcohol",103.60,18.40,6.30,13.70,23.79,True
"3-Cresol",104.70,18.00,5.10,12.90,22.72,True
"2-Methoxyphenol (guaiacol)",97.00,18.00,8.20,13.30,23.84,True
"2-Chlorophenol",102.30,20.30,5.50,13.90,25.21,False
"Methyl salicylate",129.60,18.10,8.00,13.90,24.18,True
"2-Propanone",74.00,15.50,10.40,7.00,19.94,True
"2-Butanone",90.10,16.00,9.00,5.10,19.05,True
"2-Pentanone",106.70,16.00,7.60,4.70,18.33,True
"3-Pentanone",106.40,15.80,7.60,4.70,18.15,True
"2-Hexanone",123.60,15.30,6.10,4.10,16.97,True
"2-Heptanone",139.80,16.20,5.70,4.10,17.66,True
"3-Heptanone",139.00,16.20,5.00,4.10,17.44,True
"4-Heptanone",140.80,15.80,5.70,4.90,17.50,True
"3-Octanone",156.00,16.20,4.50,4.10,17.31,True
"5-Nonanone",173.40,16.00,7.70,4.40,18.29,True
"Acetophenone",117.40,19.60,8.60,3.70,21.72,True
"Benzophenone",164.20,13.60,8.60,5.70,17.07,True
"Cyclopentanone",89.10,17.90,11.90,5.20,22.11,True
"Cyclohexanone",104.00,17.80,6.30,5.10,19.56,True
"Methyl formate",62.20,15.30,8.40,10.20,20.22,True
"Ethyl formate",80.20,15.50,8.40,8.40,19.53,True
"n-Butyl formate",114.80,15.70,6.50,9.20,19.32,True
"Methyl acetate",79.70,15.50,7.20,7.60,18.70,True
"Ethyl acetate",98.50,15.80,5.30,7.20,18.15,True
"n-Propyl acetate",115.30,15.30,4.30,7.60,17.62,True
"Isopropyl acetate",117.10,14.90,4.50,8.20,17.59,True
"n-Butyl acetate",132.50,15.80,3.70,6.30,17.41,True
"iso-Butyl acetate",133.50,15.10,3.70,6.30,16.77,True
"tert-Butyl acetate",134.10,15.40,6.20,6.20,17.72,True
"sec-Butyl acetate",133.60,15.00,3.70,7.60,17.22,True
"n-Pentyl acetate",148.00,15.80,3.30,6.10,17.26,True
"iso-Pentyl acetate",150.26,15.30,3.10,7.00,17.11,True
"n-Hexyl acetate",165.00,15.80,2.90,5.90,17.11,True
"Methyl propionate",96.80,15.50,6.50,7.70,18.49,True
"Ethyl propionate",115.50,15.50,6.10,4.90,17.36,True
"n-Butyl propionate",149.70,15.70,5.50,5.90,17.65,True
"n-Ethyl butyrate",132.90,15.50,5.60,5.00,17.22,True
"n-Butyl butyrate",166.70,15.60,2.90,5.60,16.83,True
"iso-Butyl isobutyrate",167.70,15.10,2.90,5.90,16.47,True
"Ethyl acetoacetate",125.60,16.50,10.80,8.30,21.40,True
"Methyl benzoate",124.90,17.00,8.20,4.70,19.45,True
"Ethyl benzoate",144.30,17.90,6.20,6.00,19.87,True
"Butyl benzoate",178.00,18.30,2.90,5.50,19.33,True
"Benzyl benzoate",191.20,20.00,5.10,5.20,21.28,True
"Dimethyl maleate",125.80,16.30,8.30,9.80,20.75,True
"Dibutyl maleate",230.40,16.50,6.10,7.20,19.01,True
"Diethyl malonate",152.50,16.10,7.70,8.30,19.68,True
"Diethyl phthalate",198.00,17.60,9.60,4.50,20.55,True
"Diethyl oxalate",136.60,16.20,8.00,8.80,20.10,True
"Ethyl lactate",115.00,16.00,7.60,12.50,21.68,True
"Diethyl carbonate",122.00,16.60,3.10,6.10,17.95,True
"Dimethyl carbonate",84.20,15.50,3.90,9.70,18.70,True
