Category,Solvent,Product,Chemical nomenclature,Structural formula,CHO,Molecular weight (g/mol),Tb,Flash point (°F),Flash point (°C),Evaporation rate (nBuAc=1),Specific gravity (25/25°C),Density (lb/gal at 25°C),Density (g/cc at 25°C),Viscosity (cP at 25°C),Vapor pressure (mmHg at 20°C),CAS,Surface tension (dynes/cm),dD,dP,dH,Solubility In water (wt% at 25°C),Solubility Water in (wt% at 25°C)
P-Series glycol ethers,DOWANOL™ PM Glycol Ether(Propylene Glycol Methyl Ether),DOWANOL™ PM Glycol Ether,Propylene Glycol Methyl Ether,CH3OCH2CHOHCH3,TRUE,90.1,120,88,31,0.62,0.919,7.65,0.916,1.7,8.7,107-98-2,27.7,15.6,7.2,13.6,∞,∞
P-Series glycol ethers,DOWANOL™ DPM Glycol Ether(Dipropylene Glycol Methyl Ether),DOWANOL™ DPM Glycol Ether,Dipropylene Glycol Methyl Ether,CH3O[CH2CH(CH3)O]2H,TRUE,148.2,190,167,75,0.035,0.951,7.91,0.948,3.7,0.28,34590-94-8,28.8,15.5,4,10.3,∞,∞
P-Series glycol ethers,DOWANOL™ TPM Glycol Ether(Tripropylene Glycol Methyl Ether),DOWANOL™ TPM Glycol Ether,Tripropylene Glycol Methyl Ether,CH3O[CH2CH(CH3)O]3H,TRUE,206.3,243,250,121,0.0026,0.965,8.03,0.962,5.5,0.01,25498-49-1,30,15.1,2.5,8.7,∞,∞
P-Series glycol ethers,DOWANOL™ PMA Glycol Ether(Propylene Glycol Methyl Ether Acetate),DOWANOL™ PMA Glycol Ether,Propylene Glycol Methyl Ether Acetate,CH3OCH2CH(CH3)OOCCH3,TRUE,132.2,146,108,42,0.33,0.966,8.04,0.963,1.1,2.8,108-65-6,28.9,15.6,5.6,9.8,16,3
P-Series glycol ethers,DOWANOL™ DPMA Glycol Ether(Dipropylene Glycol Methyl Ether Acetate),DOWANOL™ DPMA Glycol Ether,Dipropylene Glycol Methyl Ether Acetate,CH3O[CH2CH(CH3)O]2OCCH3,TRUE,190.2,209,187,86,0.015,0.977,8.13,0.974,1.7,0.08,88917-22-0,27.3,16.3,4.9,8,16,3.5
P-Series glycol ethers,DOWANOL™ PnP Glycol Ether(Propylene Glycol n-Propyl Ether),DOWANOL™ PnP Glycol Ether,Propylene Glycol n-Propyl Ether,C3H7OCH2CHOHCH3,TRUE,118.2,149,118,48,0.21,0.883,7.34,0.88,2.4,1.53,1569-01-3,25.4,15.3,4.9,11.2,∞,∞
P-Series glycol ethers,DOWANOL™ DPnP Glycol Ether(Dipropylene Glycol n-Propyl Ether),DOWANOL™ DPnP Glycol Ether,Dipropylene Glycol n-Propyl Ether,C3H7O[CH2CH(CH3)O]2H,TRUE,176.2,213,190,88,0.014,0.919,7.65,0.916,3.9,0.08,29911-27-1,27.8,15,2.9,9.2,19.6,20.3
P-Series glycol ethers,DOWANOL™ PnB Glycol Ether(Propylene Glycol n-Butyl Ether),DOWANOL™ PnB Glycol Ether,Propylene Glycol n-Butyl Ether,C4H9OCH2CHOHCH3,TRUE,132.2,171,145,63,0.093,0.878,7.3,0.875,2.8,0.85,5131-66-8,27.5,15.2,4.2,10.5,5.5,15.5
P-Series glycol ethers,DOWANOL™ DPnB Glycol Ether(Dipropylene Glycol n-Butyl Ether),DOWANOL™ DPnB Glycol Ether,Dipropylene Glycol n-Butyl Ether,C4H9O[CH2CH(CH3)O]2H,TRUE,190.3,230,212,100,0.006,0.91,7.57,0.907,4.9,0.04,29911-28-2,28.4,14.8,2.5,8.7,4.5,12
P-Series glycol ethers,DOWANOL™ TPnB Glycol Ether(Tripropylene Glycol n-Butyl Ether),DOWANOL™ TPnB Glycol Ether,Tripropylene Glycol n-Butyl Ether,C4H9O[CH2CH(CH3)O]3H,TRUE,248.4,274,259,126,0.0004,0.93,7.73,0.927,7,0.002,55934-93-5,29.7,14.8,1.7,7.9,4.5,8
