old_name,InChIKey,Volume,dD,dP,dH,δt,Solvent,CHO
"1,1,1-Trichloroethane",UOCLXMDMGBRAIB-UHFFFAOYSA-N,100.4,17.0,4.3,2.0,17.6,"1,1,1-Trichloroethane",False
"1,1,2,2-Tetrachloroethane",QPFMBZIOSGYJDE-UHFFFAOYSA-N,105.2,18.8,5.1,9.4,21.7,"1,1,2,2-Tetrachloroethane",False
"1,1-Dichloroethane",SCYULBFZEHDVBN-UHFFFAOYSA-N,84.8,16.6,8.2,0.4,18.4,"1,1-Dichloroethane",False
"1,1-Dichloroethylene",LGXVIGDEPROXKC-UHFFFAOYSA-N,79.0,17.0,6.8,4.5,18.8,"1,1-Dichloroethene",False
"1,2,3,4-Tetrahydronaphthalene",CXWXQJXEFPUFDZ-UHFFFAOYSA-N,136.0,19.6,2.0,2.9,20.0,"1,2,3,4-Tetrahydronaphthalene",True
"1,2-Dibromoethane",PAAZPARNPHGIKF-UHFFFAOYSA-N,87.0,19.6,6.8,12.1,23.9,"1,2-Dibromoethane",False
"1,2-Dichlorobenzene",RFFLAFLAYFXFSW-UHFFFAOYSA-N,112.8,19.2,6.3,3.3,20.5,"1,2-Dichlorobenzene",False
"1,2-Dichloroethane",WSLDOOZREJYCGB-UHFFFAOYSA-N,79.4,19.0,7.4,4.1,20.9,"1,2-Dichloroethane",False
"1,3-Dimethylcyclohexane",SGVUHPSBDNVHKL-UHFFFAOYSA-N,140.0,16.1,0.0,1.1,16.137533888423,"1,3-Dimethylcyclohexane",True
"1,3-Dioxolane",WNXJIVFYUVYPPR-UHFFFAOYSA-N,69.9,18.1,6.6,9.3,21.3929895059106,"1,3-Dioxolane",True
"1,4-Diethylbenzene",DSNHSQKRULAAEI-UHFFFAOYSA-N,156.9,18.0,0.0,0.6,18.0,"1,4-Diethylbenzene",True
"1,4-Dioxane",RYHBNJHYFVUHQT-UHFFFAOYSA-N,85.7,19.0,1.8,7.4,20.5,"1,4-Dioxane",True
1-Butanol,LRHPLDYGYMQRHN-UHFFFAOYSA-N,91.5,16.0,5.7,15.8,23.1,1-Butanol,True
1-Chlorobutane,VFWCMGCRMGJXDK-UHFFFAOYSA-N,104.9,16.4,5.5,2.0,17.4,1-Chlorobutane,False
1-Chloropropane,SNMVRZFUUCLYTO-UHFFFAOYSA-N,88.1,16.0,7.8,2.0,17.8,1-Chloropropane,False
1-Decanol,MWKFXSUHUHTGQN-UHFFFAOYSA-N,191.8,17.6,2.7,10.0,20.5,1-Decanol,True
1-Methoxy-2-Propanol,ARXJGSRGQADJSQ-UHFFFAOYSA-N,98.2,15.6,6.3,11.6,20.4355083127384,1-Methoxy-2-propanol,True
1-Methyl-2-Pyrrolidinone,SECXISVLQFMRJM-UHFFFAOYSA-N,96.6,18.0,12.3,7.2,22.959311836377,1-Methyl-2-pyrrolidinone,False
1-Methylnaphthalene,QPUYECUOLPXSFR-UHFFFAOYSA-N,138.8,20.6,0.8,4.7,21.2,1-Methylnaphthalene,True
1-Octanol,KBPLFHHGFOOTCA-UHFFFAOYSA-N,157.7,17.0,3.3,11.9,20.9,1-Octanol,True
1-Phenoxy-2-Propanol,IBLKWZIFZMJLFL-UHFFFAOYSA-N,143.2,17.4,5.3,11.5,21.5197583629557,1-Phenoxy-2-propanol,True
1-Propanol,BDERNNFJNOPAEC-UHFFFAOYSA-N,75.2,16.0,6.8,17.4,24.6,1-Propanol,True
1-Tridecanol,XFRVVPUIAFSTFO-UHFFFAOYSA-N,242.0,14.3,3.1,9.0,17.2,1-Tridecanol,True
"2,2-Butoxyethoxy-Ethyl Acetate",VXQBJTKSVGFQOL-UHFFFAOYSA-N,208.2,16.0,4.1,8.2,18.4404446801047,2-(2-Butoxyethoxy)ethyl acetate,True
"2,6-Dimethyl-4-Heptanone",PTTPXKJBFFKCEK-UHFFFAOYSA-N,177.1,16.0,3.7,4.1,16.8,"2,6-Dimethyl-4-heptanone",True
2-Butanol,BTANRVKWQNVYAZ-UHFFFAOYSA-N,92.0,15.8,5.7,14.5,22.1,2-Butanol,True
2-Butanol,BTANRVKWQNVYAZ-UHFFFAOYSA-N,92.8,15.1,5.7,16.0,22.7,2-Butanol,True
2-Butanone,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,90.1,16.0,9.0,5.1,19.0,2-Butanone,True
2-Butoxyethyl Acetate,NQBXSWAWVZHKBZ-UHFFFAOYSA-N,171.2,15.3,7.5,6.8,18.3461167553245,2-Butoxyethyl acetate,True
2-Chloroethyl Ether,ZNSMNVMLTJELDZ-UHFFFAOYSA-N,117.6,18.8,9.0,5.7,21.7,Bis(2-chloroethyl) ether,False
2-Ethoxyethanol (Ethyl cellosolve),ZNQVEEAIQZEUHB-UHFFFAOYSA-N,97.8,16.2,9.2,14.3,23.5,2-Ethoxyethanol (Ethyl cellosolve),True
2-Ethoxyethyl Acetate,SVONRAPFKPVNKG-UHFFFAOYSA-N,136.2,16.0,4.7,10.6,19.6,2-Ethoxyethyl acetate,True
