old_name,dD,dP,dH,Solvents,CHO
"(3-hydroxy-2,2,4-trimethylpentyl) 2-methylpropanoate",15.1,6.1,9.8,"(3-Hydroxy-2,2,4-trimethylpentyl) 2-methylpropanoate",TRUE
(Z)-octadec-9-enoic acid,14.3,3.1,14.3,(Z)-Octadec-9-enoic acid,TRUE
"1,1,1-trichloroethane",16.9,4.3,2.1,"1,1,1-Trichloroethane",FALSE
"1,1,2-trichloro-1,2,2-trifluoroethane",14.7,1.6,0,"1,1,2-Trichloro-1,2,2-trifluoroethane",FALSE
"1,1-dichloroethane",16.6,8.2,0.4,"1,1-Dichloroethane",FALSE
"1,1-dichloroethene",17,6.8,4.5,"1,1-Dichloroethene",FALSE
"1,2,3-propanetriol",17.3,12.1,29.4,"1,2,3-Propanetriol",TRUE
"1,2-diacetoxyethane",16.2,4.7,9.8,"1,2-Diacetoxyethane",TRUE
"1,2-diaminoethane",16.6,8.8,17,"1,2-Diaminoethane",FALSE
"1,2-dichlorobenzene",19.2,6.3,3.3,"1,2-Dichlorobenzene",FALSE
"1,2-dichloroethane",19,7.4,4.1,"1,2-Dichloroethane",FALSE
"1,2-dimethylbenzene",17.8,1,3.1,"1,2-Dimethylbenzene",TRUE
"1,2-propanediol",16.9,9.4,23.3,"1,2-Propanediol",TRUE
"1,3-butanediol",16.6,10,21.5,"1,3-Butanediol",TRUE
"1,3-dihydroxybenzene",18,8.4,21.2,"1,3-Dihydroxybenzene",TRUE
"1,3-dimethylbenzene",17.7,1,3.1,"1,3-Dimethylbenzene",TRUE
"1,3-dioxolan-2-one",19.4,21.8,5.1,"1,3-Dioxolan-2-one",TRUE
"1,3-dioxolane",18,6.6,9.2,"1,3-Dioxolane",TRUE
"1,4-diethylbenzene",18,0,0.6,"1,4-Diethylbenzene",TRUE
"1,4-dimethylbenzene",17.6,1,3.1,"1,4-Dimethylbenzene",TRUE
1-bromonaphthalene,20.4,3.1,4.1,1-Bromonaphthalene,FALSE
1-butoxypropan-2-ol,15.4,4.5,9.2,1-Butoxypropan-2-ol,TRUE
1-chlorobutane,16.3,5.5,2.1,1-Chlorobutane,FALSE
1-ethoxypropan-2-yl acetate,15.6,6.4,7.8,1-Ethoxypropan-2-yl acetate,TRUE
1-methoxy-2-propanol,15.5,6.3,11.7,1-Methoxy-2-propanol,TRUE
1-methoxypropan-2-yl acetate,15.5,5.5,9.8,1-Methoxypropan-2-yl acetate,TRUE
1-methylpropyl acetate,15,3.7,7.6,1-Methylpropyl acetate,TRUE
1-nitropropane,16.6,12.3,5.5,1-Nitropropane,FALSE
1-phenoxy-2-propanol,17.4,5.3,11.5,1-Phenoxy-2-propanol,TRUE
"2,2,4-trimethylpentane",14.3,0,0,"2,2,4-Trimethylpentane",TRUE
"2,6-dimethyl-4-heptanone",16,3.7,4.1,"2,6-Dimethyl-4-heptanone",TRUE
2-(2-butoxyethoxy)ethanol,16,7,10.6,2-(2-Butoxyethoxy)ethanol,TRUE
2-(2-butoxyethoxy)ethyl acetate,16,4.1,8.2,2-(2-Butoxyethoxy)ethyl acetate,TRUE
2-(2-butoxypropoxy)propan-1-ol,15.8,6.6,10,2-(2-Butoxypropoxy)propan-1-ol,TRUE
2-(2-ethoxyethoxy)ethanol,16.2,9.2,12.3,2-(2-Ethoxyethoxy)ethanol,TRUE
2-(2-ethoxyethoxy)ethyl acetate,16.2,5.1,9.2,2-(2-Ethoxyethoxy)ethyl acetate,TRUE
2-(2-ethylhexoxy)ethanol,16,4.1,5.1,2-(2-Ethylhexoxy)ethanol,TRUE
2-(2-methoxyethoxy)ethanol,16.2,7.8,12.7,2-(2-Methoxyethoxy)ethanol,TRUE
2-(2-methoxypropoxy)propan-1-ol,15.6,5.7,11.3,2-(2-Methoxypropoxy)propan-1-ol,TRUE
2-(2-propoxyethoxy)ethanol,16,7.2,11.3,2-(2-Propoxyethoxy)ethanol,TRUE
2-aminoethanol,17.2,15.6,21.3,2-Aminoethanol,FALSE
