ID,Solvent,CAS,Smiles,CHO,Tb,MWt (g/mol),Plate No.,Remarks,dD,dP,dH,Molar volume (cm3/mol)
S1,"1,3-Bis(Trifluoromethyl)Benzene",402-31-3,C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,FALSE,116,214,1,"2h in CO2 incubator (37°C, RH:95%, 5%-CO2)",17,6.8,0,155.2
S2,Perfluorohexane,355-42-0,FC(F)(C(F)(C(F)(C(F)(C(F)(C(F)(F)F)F)F)F)F)F,FALSE,60,338,1,2h in CO2 incubator,12.1,0,0,201.2
S3,Hydrofluoroether(AE-3000),406-78-0,FC(OCC(F)(F)F)(C(F)F)F,FALSE,50,200,1,2h in CO2 incubator,14,4.9,3.9,136.3
S4,"1H,1H,7H-Dodecafluoro-1-heptanol",335-99-9,FC(C(F)(F)C(F)(F)CO)(F)C(F)(F)C(F)(F)C(F)F,FALSE,170,332,1,2h in CO2 incubator,13.6,4.6,8.1,196.4
S5,Perfluoro(2-methyl-3-pentanone)(Novec649),756-13-8,O=C(C(C(F)(F)F)(C(F)(F)F)F)C(F)(C(F)(F)F)F,FALSE,49,316,1,2h in CO2 incubator,12.4,3.6,1.3,189.3
S6,Hydrofluoroether(HFE-7100),163702-07-6,COC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,FALSE,61,250,1,2h in CO2 incubator,13.7,2.2,1,164.5
S7,Hydrofluoroether(HFE-7200),"163702-06-5,163702-05-4",C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)OCC,FALSE,76,264,1,2h in CO2 incubator,13,2.9,2,182
S8,Hydrofluoroether(HFE-7300),132182-92-4,FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)OC,FALSE,98,350,1,2h in CO2 incubator,12.8,2.6,2.1,216.6
S9,Perfluoropolyether(GALDEN HT55),,,FALSE,55,340,1,2h in CO2 incubator,12.1,4.2,2.2,201.8
S10,Perfluoropolyether(GALDEN HT80),,,FALSE,80,430,1,2h in CO2 incubator,11.8,4.7,2.5,249.2
S11,Perfluoropolyether(GALDEN HT110),,,FALSE,110,580,1,2h in CO2 incubator,10.9,4.4,2.1,328.5
S12,Perfluoropolyether(GALDEN HT135),,,FALSE,135,610,2,2h in CO2 incubator,10.7,4.3,2,344.4
S13,Perfluoropolyether(GALDEN HT170),,,FALSE,170,760,2,2h in CO2 incubator,9.9,4.3,1.8,423.7
S14,Perfluoropolyether(GALDEN HT200),,,FALSE,200,870,2,2h in CO2 incubator,9.3,3.7,1.1,482.1
S15,Perfluoropolyether(GALDEN HT230),,,FALSE,230,1020,2,2h in CO2 incubator,8.6,4.9,2,560.9
S17,Hexamethyldisiloxane,107-46-0,C[Si](C)(C)O[Si](C)(C)C,FALSE,100,162,2,2h in CO2 incubator,12.6,2,0,212.4
S18,Octamethyltrisiloxane,107-51-7,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,FALSE,153,237,2,2h in CO2 incubator,12.2,1.8,0,288.4
S19,Decamethyltetrasiloxane,141-62-8,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,FALSE,194,311,2,2h in CO2 incubator,11.7,2.4,0,363.8
S20,Decamethylcyclopentasiloxane,541-02-6,[Si]1(C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](O1)(C)C,FALSE,210,371,2,2h in CO2 incubator,12.9,1.3,1,388.7
S21,1-Bromoperfluorooctane,423-55-2,FC(F)(F)C(F)(F)C(F)(F)...Br,FALSE,142,499,2,2h in CO2 incubator,12.9,1.9,1.3,260.9
S22,Hydrofluoroether(HFE-7000),375-03-1,COC(F)(C(F)(C(F)(F)F)F)F,FALSE,34,200,3,1h at ambient (22°C),13,4.2,1,141.9
S23,Hexadecane,544-76-3,CCCCCCCCCCCCCCCC,TRUE,287,227,4,2h in CO2 incubator,16.3,0,0,294.2
S24,Octadecane,593-45-3,CCCCCCCCCCCCCCCCCC,TRUE,317,255,4,2h in CO2 incubator,16.4,0,0,328.2
S25,PAO6 (poly-α-olefin 6cSt),68037-01-4,CC(CCCCCCCC)CC(CCCCCCCC)...,TRUE,514,563,4,2h in CO2 incubator,16.1,0,0,689.6
