Chemical,D,P,H,Data
Methanol,15.1,12.3,22.3,1
Ethanol,15.8,8.8,19.4,1.0
1-Propanol,16.0,6.8,17.4,1.0
2-Propanol,15.8,6.1,16.4,0.5
1-Butanol,16.0,5.7,15.8,1.0
1-Octanol,16.0,5.0,11.2,0.5
Ethylene Glycol,17.0,11.0,26.0,0.0
Acetone,15.5,10.4,7.0,0.0
Methyl Ethyl Ketone (MEK),16.0,9.0,5.1,0.5
Methyl Isobutyl Ketone (MIBK),15.3,6.1,4.1,0.0
Cyclohexanone,17.8,8.4,5.1,0.5
"N,N-Dimethyl Acetamide",16.8,11.5,9.4,1.0
"N,N-Dimethyl Formamide (DMF)",17.4,13.7,11.3,1.0
N-Methyl-2-Pyrrolidone (NMP),18.0,12.3,7.2,1.0
Methyl Acetate,15.5,7.2,7.6,0.0
Ethyl Acetate,15.8,5.3,7.2,0.0
n-Butyl Acetate,15.8,3.7,6.3,0.0
"1,3-Butylene Glycol Diacetate",16.4,5.2,7.4,0.0
"1,4-Dioxane",17.5,1.8,9.0,0.5
Tetrahydrofuran,16.8,5.7,8.0,1.0
Toluene,18.0,1.4,2.0,0.0
Xylene,17.6,1.0,3.1,0.0
Hexane,14.9,0.0,0.0,0.0
2-Ethoxyethanol (Ethyl cellosolve),16.2,9.2,14.3,1.0
Dimethyl Sulfoxide (DMSO),18.4,16.4,10.2,1.0
Terpineol,17.1,3.6,7.6,0.5
Diethylene glycol mono butyl ether (Butyl CARBITOL),16.0,7.0,10.6,0.5
Diethylene glycol n-butyl ether acetate(Butyl CARBITOL Acetate),16.0,4.1,8.2,0.0
